model_id,method,ablation,task,steering_factor,topk,accuracy
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,6,0.01,0.06
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,6,0.03,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,6,0.05,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,6,0.07,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,6,0.09,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,6,0.1,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,6,0.5,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,6,1.0,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,5,0.01,0.06
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,5,0.03,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,5,0.05,0.14
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,5,0.07,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,5,0.09,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,5,0.1,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,5,0.5,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,5,1.0,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,4,0.01,0.02
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,4,0.03,0.02
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,4,0.05,0.08
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,4,0.07,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,4,0.09,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,4,0.1,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,4,0.5,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,4,1.0,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,2,0.01,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,2,0.03,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,2,0.05,0.04
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,2,0.07,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,2,0.09,0.26
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,2,0.1,0.14
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,2,0.5,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,2,1.0,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,1,0.01,0.02
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,1,0.03,0.02
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,1,0.05,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,1,0.07,0.02
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,1,0.09,0.02
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,1,0.1,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,1,0.5,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-single_to_harmless,1,1.0,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,10,0.01,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,10,0.03,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,10,0.05,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,10,0.07,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,10,0.09,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,10,0.1,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,10,0.5,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,10,1.0,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,8,0.01,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,8,0.03,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,8,0.05,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,8,0.07,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,8,0.09,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,8,0.1,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,8,0.5,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,8,1.0,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,6,0.01,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,6,0.03,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,6,0.05,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,6,0.07,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,6,0.09,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,6,0.1,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,6,0.5,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,6,1.0,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,5,0.01,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,5,0.03,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,5,0.05,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,5,0.07,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,5,0.09,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,5,0.1,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,5,0.5,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,5,1.0,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,4,0.01,0.006578947368421052
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,4,0.03,0.006578947368421052
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,4,0.05,0.05263157894736842
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,4,0.07,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,4,0.09,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,4,0.1,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,4,0.5,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,4,1.0,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,2,0.01,0.006578947368421052
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,2,0.03,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,2,0.05,0.006578947368421052
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,2,0.07,0.006578947368421052
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,2,0.09,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,2,0.1,0.0
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,2,0.5,0.006578947368421052
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,2,1.0,0.013157894736842105
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,1,0.01,0.013157894736842105
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,1,0.03,0.006578947368421052
Qwen1.5-14B-Chat,random,steer,from_verse-long_to_prose,1,0.05,0.006578947368421052
